,Title,Opinion,Place,Gender,Age,Country,Date,Label
0,"""No es para recomendarse""","""Las famosas momias de Guanajuato. El museo en sí es horrible, y no por lo que exhiben sino como lo exhiben. Mi abuelo me contó que hace 40 años para visitar las momias había que entrar al panteón pasear entre las tumbas y darle una propina al sepulturero que levantaba una pesada aldaba para después bajar por una escalera de caracol a la lúgubre cripta. Ahí los cuerpos alineados uno tras otro y a ambos lados de un estrecho pasillo había que pasar entre ellas sin cristales de por medio. Suena más escalofriante pero mucho más auténtico... lo debieron haber dejado así y limitar el número de personas que las pudieran visitar diariamente quizás unas 100 y haber cobrado más. Pero bueno se ve que el museo es una muy buena fuente de ingresos para el erario de esta bella ciudad. Recomiendo visitarlo sí y sólo si ya visitaron todas las demás atracciones y bellezas que ofrece Guanajuato si les queda tiempo pues esta bien.""",Museo de las Momias,Male,48,México,02/07/2013,0
1,"""Es un mercado tradicional, no es nada del otro mundo""","""Allí puedes encontrar comida o souvenirs. Es una antigua bodega que funciona ahora como mercado. ¡Mejor ir a un lugar diferente en Guanajuato pues la oferta gastronómica es bien variada!""",Mercado Hidalgo,Male,52,México,06/09/2016,0
2,"""No visitar""","""Es tardado entrar al museo, una vez dentro no es nada interesante, no te explican nada y sólo ves cuerpos deshidratados, no momificados, además es un museo que no pertenece al estado de Guanajuato, así que sí van a Guanajuato gasten para Guanajuato no para terceros, Guanajuato no son sólo momias.""",Museo de las Momias,Male,42,México,25/12/2017,0
3,"""No le veo atractivo. A ver semejantes cacharros""","""Entiendo que a muchos les cautive o llamé la atención admirar las emblemáticas momias de Guanajuato. Sin embargo, no sé que esperaba yo... pero ver esos retorcidos, amarillentos e inflados muertos no me fue agradable y salí con náuseas del lugar... No volvería.""",Museo de las Momias,Female,24,México,14/08/2013,0
4,"""Nada fuera de lo común""","""La fruta y verdura son poco frescos, al igual que las carnes,los desayunos son caros para la porción.""",Mercado Hidalgo,Female,19,México,01/08/2017,0
5,Interesante pero cada vez hay menos momias,El lugar es interesante pero cada vez que he ido hay menos momias en exhibición. No me parece justo que los visitantes de otros estados paguemos más por la entrada que la gente con domicilio en Guanajuato.,Museo de las Momias,Male,-1,México,2018,0
6,"""Si te sobra tiempo""","""Si eres mexicano es imposible no haber escuchado hablar de las momias de Guanajuato, el lugar no es malo pero tampoco es la gran cosa, Guanajuato es una ciudad hermosa con lugares muchísimo más interesante que ver, ir sólo si te sobra tiempo.""",Museo de las Momias,Male,33,México,24/12/2016,0
7,"""No tiene nada de bueno""","""Sinceramente este lugar aunque es muy representativo de la ciudad es bastante feo y sin chiste a la simple vista aunque si sabes la historia que hay detrás se vuelve un lugar importante.
Sin embargo cabe mencionar que la zona es sucia y la pared esta llena de chicles de las parejas que van a besarse ahí :s además hay un montón de gente formándose para tomarse la foto.""",Callejón del Beso,Female,20,México,18/10/2015,0
8,Bonito Rincon,"Es un bonito lugar solo que en ocasiones hay mucha gente y 
no puedes aprovechar y tomar una buena foto",Callejón del Beso,Male,-1,N/I,2017,0
9,Arquitectura,"Esta iglesia es muy bonita pero más en su parte exterior, está llena de historia y se rodea de una plaza que destaca su arquitectura.",Basilica Colegiata,Male,-1,México,2018,0
10,"""Una foto para el recuerdo""","""Simpático lugar, que se puede visitar cómo parte del recorrido turístico peatonal por el centro de Guanajuato. Es cierto lo que indican los otros viajeros, hay mucha gente y guias, pero igual me tome una foto para el recuerdo. . . Atractivo turístico complementario.""",Callejón del Beso,Female,44,Perú,03/01/2013,0
11,"""Momias NO""","""Mmmmm no quisiera volver a ir... ¿ver pura gente muerta? ¿En vacaciones? ¿Señoras con sus bebés? No sé ni porque fui.""",Museo de las Momias,Female,21,México,13/04/2017,0
12,"""Vista""","""No hay mucho que hacer ahí pero tiene la vista más hermosa de toda la ciudad como para las fotos del viaje :)""",Monumento Pípila,Female,16,México,03/11/2015,0
13,"""Las momias""","""Es un lugar que no es de mucho interés para visitar y que no representa mayor cosa de atractivo.""",Museo de las Momias,Male,64,México,13/03/2012,0
14,"""Pocas momias""","""Entiendo que se tienen que respetar a nuestros difuntos y todo eso, pero creo que son pocas momias y mucha historia. El museo es muy descriptivo y deja de lado el misterio. Considero que ya se requieren algunos cambios. Aunque los felicitió por la conservación de estos cuerpos.""",Museo de las Momias,Female,25,México,04/10/2012,0
15,"""Es buena. La v ista es perfecta, pero quieren afuerzas imponerte la entrada y pagar por ella""","""Es un sitio que debes de visitar para tener una vista super panorámica, la ciudad en todo su explendor, sólo no te dejes influenciar por la sarta de mentiras y presiones para entrar, el museo no tiene nada de impresionante, sólo el cobro, pues parece que es de iniciativa privada de alguno de los gobiernos.""",Monumento Pípila,Male,21,México,06/05/2012,0
16,"""Quitar ambulantes""","""El monumento esta bien conservado y la vista increíble pero los vendedores ambulantes que se ponen al pie del monumento le dan mala imagen además de que incomodan con su insistencia, deberían de quitarlos y dejar sólo los puestos establecidos que están enfrente.""",Monumento Pípila,Male,35,México,10/02/2017,0
17,"""Vistia para foto""","""Es un lugar histórico, que debes conocer sí visitas Guanajuato. No dejes de comer guacamayas cuando estés ahí.""",Monumento Pípila,Male,24,México,01/06/2014,0
18,"""¡Entretenido!""","""El recorrido es bueno, tiene secciones que seguro te van a mantener intrigada y entretenida, aunque me parece que para llegar en colectivo es complicado porque pasan cada 15 o 20 minutos los camiones que van para allá, igual es el regreso, es una opción si quieres pasar 1 o 2 horas divertidas en familia.""",Museo de las Momias,Female,24,México,28/06/2016,0
19,"""Largas filas""","""Si vas ármate de paciencia, fuimos en temporada alta y la fila larguísima de mas de una hora eso sin contar que la gente se metía a la fila y muchas personas queriéndote contar la historia a cambio de propina, vendedores ambulantes y todo para obtener tu foto.""",Callejón del Beso,Female,33,México,17/04/2017,0
20,"""Mmm...""","""Es un lugar en el cual la historia tiende a ser romántica, pero ya esta saturada, por el hecho de ser un espacio muy pequeño. Es mas llamativa la historia y ver el lugar, que subir a su balcón.""",Callejón del Beso,Male,29,Paraguay,04/08/2016,0
21,"""Demasiado calor dentro de la estatua""","""No disfruto ir al Pipila, pero siendo de Guanajuato es una parada obligada cuando tienes visitas, la última vez que subí habían puesto una caja de cristal que da un efecto invernadero insoportable.""",Monumento Pípila,Male,38,México,24/05/2017,0
22,"""Mucho tiempo""","""Es interesante conocer este sitio pero necesitas ir por la mañana en el momento de su apertura, porque mas tarde tienes que hacer una fila de cuando menos una hora para comprar el boleto y otra mas para entrar. Esta muy limpio el lugar. Si visitas otros museos en Guanajuato como el de la Inquisición, puedes ver también momias de personas y de algunos animales.""",Museo de las Momias,Male,53,México,18/07/2015,0
23,"""Un lugar histórico""","""Es un edificio emblemático por la historia que representa para la independencia Mexicana. está en frente del Mercado.""",Alhóndiga,Female,29,Ecuador,30/08/2015,0
24,"""Indiferente""","""Lugar bastante concurrido, sobre todo por jóvenes, debido a la leyenda que se tiene de las dos casas. No lo considero algo asombroso, solo para escuchar la leyenda y el ingenio de los cuenta-leyendas.

Si llevas pareja es mandatorio se den un beso en el tercer beso para evitar mala suerte según la superstición del lugar.""",Callejón del Beso,Male,55,México,08/02/2015,0
25,"""Nada interesante""","""Poco llamativa realmente, para mi gusto no va más allá de un simple templo común. Se mira más interesante el templo que está al lado del Teatro Juárez.""",Basilica Colegiata,Male,30,México,13/08/2014,0
26,"""Clásico""","""Me agrada que la construcción esta hecha a lo que es la ciudad colonial, me parece de buen tamaño. Aunque no me agrada las butacas, me parecen un poco incomódas para los eventos de más de una hora.""",Teatro Juárez,Male,36,México,30/04/2015,0
27,"""Es más viejo que las momias""","""En condiciones mediocres, demasiado personal para lo que es, igual el precio, solo vengan si no conocen las momias y por lo iconico que son para la ciudad pero necesitan una renovación urgenteeeeeeeeeeee.""",Museo de las Momias,Male,42,Perú,29/05/2017,0
28,"""Bueno para ver desde panoramica y noche""","""Bueno para ver desde panoramica y noche, en la noche salen fotos bonitas ademas de que esta tranquilo por el callejón.""",Universidad de Guanajuato,Female,36,México,03/02/2015,0
29,"""Esperaba más""","""Esperaba más del museo ya que es la primera vez que voy a Guanajuato. Al principio te pasan en un grupo pero después de iniciar te topas con las personas que van entrando y las que estaban antes que tú, impidiendo que escuches al guía y puedas apreciar las momias, en mi parecer necesitan más logística para que se puedan apreciar las momias y no se conglomeren las personas.""",Museo de las Momias,Female,45,México,16/01/2016,0
30,"""No es apto para niños""","""El lugar no es categoría para museo, no es apto para niños y personas sensibles a cosas muy impresionantes, la verdad no lo recomiendo si vas con niños menores de 12 años, sugiero leas antes de ir para que veas imágenes en Internet de lo que hay ahí, ya que no son agradables de vista y es algo muy impactante ya que son personas muertas. Nosotras llevamos a mi bebé y nos salimos a los 2 min es algo que no es apto para menores. Además el lugar esta descuidado.""",Museo de las Momias,Female,32,México,24/06/2017,0
31,"""Costumbre""","""Un  buen lugar para turistas en los cuales les gustan historias, pero bien no lo recomiendo a gente pensante ya que carece de enseñanza.""",Callejón del Beso,Male,60,Panamá,13/01/2015,0
32,"""Momias en la calle""","""Es una mala visita sin embargo se da como parte de la cultura de Guanajuato ya que en este museo se cuentan historias de cómo se momifican o relatos de ciertas momias. Además cuentan con un pasaje que se llama salón de la muerte, el cual es malo, lo peor de este museo ya que son puras tonteras de fería de circo.""",Museo de las Momias,Male,-1,México,13/01/2015,0
33,"""Visita obligada al mítico Museo de las Momias""","""En verdad todo turista tiene que visitar el museo de las Momias de Guanajuato, a diferencia de otro tipo de momias estas, están momificadas por un proceso natural, es verdad el museo no es el mejor del mundo en instalaciones y hasta falta de organizacion cuando la cantidad de turistas son demasiados, lo que si es verdad que dejando de lado las instalaciones es una visita que llevara tu mente al pasado desde el momento que vas la primera momia su vestimenta.""",Museo de las Momias,Male,41,México,22/03/2017,0
34,"""El museo es muy limitado""","""Un lugar lleno de historia, con un museo muy limitado, algo tendría que hacer el gobierno del estado para poner atención en estas cosas.""",Alhóndiga,Male,46,México,06/04/2015,0
35,"""¡Historia!""","""Escultura importante que se encuentra sobre una de las colinas, se dice que el Pípila vigila hoy la cuidad. Un lugar con historia.""",Monumento Pípila,Female,51,Paraguay,17/08/2015,0
36,"""Interesante""","""Es un lugar interesante por visitar, ya que es una de las atracciones principales de Guanajuato. Es recomendable visitarlas pero no es nada histórico, es más una atracción. Hasta cierto punto es perturbador ver las momias pero vale la pena visitar este museo en Guanajuato.""",Museo de las Momias,Male,55,México,28/12/2013,0
37,"""Mercado""","""El diseño es perfecto pero las ultimas veces que he visitado Guanajuato lo veo ya sucio. Falta limpieza. Lo que mas me gusto fue el diseño la amabilidad de las personas, los preciso baratos. Lo que menos me gusto fue lo sucio.""",Mercado Hidalgo,Male,32,México,15/11/2012,0
38,"""¡¡¡Ya no están completas las momias!!!""","""Resulta que, mediante un convenio sospechoso, se 'prestaron' varias momias (creo que andan en EE.UU.) y como había mucha gente, sólo te dan cuando mucho 20 o 30 minutos para hacer medio recorrido, aunque uno paga boleto completo.""",Museo de las Momias,Female,40,México,10/11/2011,0
39,"""Para comer y comprar souvenirs""","""La entrada del mercado es muy bonita, hay muchos mercados dedicados principalmente a los souvenirs y a la comida, pero entré buscando enchiladas mineras y no encontre, tuve que salir a las fondas a un lado del mercado.""",Mercado Hidalgo,Female,21,México,03/02/2018,0
40,"""Excelente vista, exceso de comercio""","""El monumento es hermoso así como la vista de la ciudad, pero el monumento está lleno de comercios y camiones de pasajeros, lo que no permite apreciar tranquilamente el espacio.""",Monumento Pípila,Female,56,México,25/01/2013,0
41,"""Clásico""","""Posiblemente junto al Teatro Juárez y la Alhóndiga, uno de los lugares de visita obligada. Es interesante ver la conservación que mantienen de las momias, muy buen trabajo en ello. Para mi gusto no es un lugar que tienes que visitar en varias ocasiones.""",Museo de las Momias,Male,30,México,07/02/2012,0
42,"""Un edificio lleno de historia""","""El edificio es bonito y cuando fui había exposiciones de la época prehispánica, la independencia y una de fotografía. En la exposición sólo se explica que funcionó como fortaleza, pero no hay explicación de su funcionamiento como cárcel. Tal vez vale más la pena cuando vas con un guía.""",Alhóndiga,Female,35,México,17/02/2014,0
43,"""Hermosa vista""","""La vista al Pípila vale sólo por la vista de la ciudad, pueden subir caminando desde el centro o tomar un tour.""",Monumento Pípila,Male,20,México,15/03/2016,0
44,"""Turismo falso""","""Es el segundo lugar más visitado del estado y ni siquiera es real. ¿Qué onda con eso? A mí no me gustó y no pienso regresar.""",Museo de las Momias,Male,32,México,21/04/2017,0
45,"""Tiene una vista preciosa de la ciudad""","""Fuera de la vista no merece la pena subir a lo alto del monumento, es una pequeña caja de cristal caliente y con escaleras complicadas.""",Monumento Pípila,Male,42,Argentina,21/07/2017,0
46,"""Guanajuato limpio""","""Sugiero que las autoridades se preocupen por tener mas limpia la ciudad, los centros de mayor afluencia tener personal que de forma permanente mantengan sin basura.""",Museo de las Momias,Male,54,México,23/04/2012,0
47,"""¡Más atención!""","""Tuve la oportunidad de visita este lugar antes y después de la remodelación y ha perdido un poco ese encanto misterioso de los sucesos de antaño para provocar miedo con historias y arreglos de halloween y pierde todo su sabor histórico que sería lo que buscan algunos viajeros pero bueno es la moda, el servicio en taquillas es malo, no hay descuentos para estudientes en vacaciones y días festivos -no sé qué día quieren que vayan- era una visita obligada, creo que ahora se podría precindir de ella. Suerte.""",Museo de las Momias,Male,28,México,25/07/2016,0
48,"""Podría mejorar""","""El Museo Regional de Guanajuato ""Alhóndiga de Granaditas"" es un museo muy sencillo, pues es una copia a escala del Museo Nacional de Historia de la Ciudad de México, sólo que se centra en la campaña de Hidalgo por Guanajuato.""",Alhóndiga,Male,39,Colombia,12/01/2015,0
49,"""Colorido""","""El mercado según me dijeron se encuentra dentro de lo que alguna vez fue una estación de tren, hermoso por fuera e interesante y pintoresco por dentro. En la primera planta encontrarás todos los puestos de comida, y en la planta de arriba se encuentran artesanías y recuerdos de todos los lugares turísticos de la ciudad. Te recomiendo las tortas de Chicarrón con aguacate que vende justo frente a la entrada del mercado ;)""",Mercado Hidalgo,Female,30,México,05/04/2018,0
50,"""No vale la pena""","""Es un museo muy mórbido, y de mal gusto. Ver cadáveres humanos no es un espectáculo, y aunque las momias están muy bien conservadas, no es algo en lo que se deba gastar el poco tiempo que se tiene al visitar Guanajuato. Es una ciudad con mucha cultura y muchísimos monumentos históricos para perder el tiempo viendo cadáveres resecos.""",Museo de las Momias,Male,25,México,09/12/2014,0
51,"""Es tradicional pero…""","""Desafortunadamente lo comercial invadió y se adueñó del lugar, se hace fila para poder ""tomarse"" la foto, hay muchos que te cuentan la leyenda por dinero, que en sí no tiene nada de malo, pero se vuelve molesto que te insistan.

En fin, no veo como pudiera mejorarse, así que para aquellos que es forzoso ir a los lugares de tradición en sus viajes, lo único que les puedo recomendar para este lugar es que se armen con bastante paciencia.""",Callejón del Beso,Male,49,México,03/04/2018,0
52,"""Para una vista bella de la ciudad""","""Nos aconsejaron no ir caminando, es peligroso por los robos a turistas en el trayecto. Se recomienda en visitas guíadas o vehículos. Además hay ferias para compras.""",Monumento Pípila,Male,37,Argentina,21/11/2015,0
