,Unnamed: 0,Title,Opinion,Place,Gender,Age,Country,Date,Label
3380,3380,"""Impresionante vista de la ciudad de Guanajuato""","""El monumento al Pípila es una parada forzosa al visitar la mágica Ciudad de Guanajuato, en dicho monumento se tiene una impresionante y espectacular vista completa de la ciudad.""",Monumento Pípila,Male,29,Argentina,26/02/2016,1
2706,2706,Excelente como siempre,"Este jardín es un lugar donde lo puedes pasar divinamente, ya sea comer en los restaurantes que lo rodean ( caros por cierto ) o sentarte a tomar un respiro de las caminatas. Este es un lugar que siempre me ha gustado y donde me da un cierto sentido de pertenencia.",Jardín de la Unión,N/I,-1,México,2018,1
655,655,"""Buena vista, sólo eso""","""La vista desde allí es la mejor de Guanajuato, sin embargo me parece que es todo lo que puede ofrecer, para llegar a él desde el centro existe un funicular el cual me parece muy caro.""",Monumento Pípila,Male,37,México,15/07/2017,0
4346,4346,Bueno museo con una gran colección,"La casa natal de Diego Rivera es un sitio muy agradable para visitar en el centro de Guanajuato. Tiene una gran colección de dibujos y pinturas de este notable artista mexicano del siglo 20. El museo consta de cuatro pisos. En la planta baja se encuentra una zona de exposiciones temporales y en los pisos subsiguientes se ubican pinturas y dibujos de las diferentes épocas de Diego Rivera; desde su infancia y adolescencia, su paso por París y la transformación al cubismo; y su obra plástica madura que incluye bocetos para murales, óleos y litografías. Definitivamente es un excelente museo y vale la pena dedicar a la visita al menos 2 horas",Casa de Diego Rivera,Male,-1,México,2019,1
3063,3063,"""Excelente, me fascino""","""Me encanto el recorrido fue genial observar varios objetos que forman parte de nuestra historia, una visita para los niños es increíble.""",Alhóndiga,Female,40,México,20/08/2012,1
1703,1703,"""Un recorrido turístico""","""Esta es nuestra segunda visita a las momias, mis hijos fascinados con las historias y las momias es un lugar que sin duda hay que visitar. Hay un tour en la ciudad que te lleva a 4 sitios en $150 pesos + pases de entrada.""",Museo de las Momias,Male,30,México,16/09/2017,1
2107,2107,"""Joya arquitectónica del Porfiriato: estilo único en el país""","""De los teatros mejor conservados de la República, un capricho ecléctico del Arquitecto Rivas Mercado -el más renombrado en México a fines del siglo XIX, autor de la Columna de la Independencia entre otros monumentos relevantes- con influencias orientales en su interior se destaca su gran candil veneciano al centro de la sala, así como su telón con un antiguo paisaje de Estambul. Se ubica en el corazón de la ciudad, es referente para ubicarse.""",Teatro Juárez,Male,48,México,15/08/2017,1
3988,3988,"""Impresionante mantenimiento""","""En las noches las estudiantinas se reunen para iniciar las callejoneadas (Como somos un poco viejitos solo escuchamos un rato, pero muy hermoso, después nos fuimos a cenar a uno de los restaurantes frente al Teatro, también excelente servicio.""",Teatro Juárez,Female,50,México,23/01/2012,1
1485,1485,"""Icono de Guanajuato""","""Es un museo que es icono de la ciudad, sin embargo deberían mejorar y ampliar más el museo para que reciba más gente. He ido varias veces y no veo un gran avance en eso, sin embargo es muy interesante.""",Museo de las Momias,Male,18,México,11/05/2016,1
527,527,"""Ve a las 9 que abren""","""El viernes intentamos entrar a las 12, el tráfico detenido. Nos aborda un lugareño diciendo que nos tardaríamos dos horas sólo para entrar al estacionamiento, que mejor el nos llevaba a una mina. Como todo en Guanajuato, mediante una propina.  Regresamos el sábado 8:45 am poca gente en el estacionamiento, entramos sin tener que esperar,
el guía con prisa. El recorrido es de 15 minutos. Incluso tan temprano ya había grupos de gente enloquecida por pasar primero y atropellando para tomar fotos. Por la fama y por que venir a Guanajuato y no verlas es como no haber venido, pero no regresaría.""",Museo de las Momias,Male,46,México,06/08/2016,0
1192,1192,"""Joya arquitectónica""","""En el centro de la ciudad de Guanajuato, se encuentra este maravilloso teatro construido entre 1873 y 1903 y que te transporta a al pasado, su nombre se debe Don Benito Juárez.""",Teatro Juárez,Male,65,México,29/04/2016,1
122,122,"""Bueno""","""Escucho que mucha gente se queja de lo poco que ofrece y las largas filas que se hacen, no me quejo de ninguna de las dos, la primera porque ofrecen exactamente lo qué hay y si tienes tiempo, puedes complementarlo con un paseo por el cementerio, en mi caso me hubiera encantado que así fuera. Desgraciadamente yo no contaba con el. En cuanto al segundo, pude contar con la fortuna de tener apenas tres minutos en la fila.""",Museo de las Momias,Female,23,México,13/08/2017,0
3337,3337,"""Fenomenal""","""¡La vista de la ciudad es hermosa! Mientras vas subiendo por el funicular vas viendo la vista de la ciudad. Mi recomendación es ir en la tarde por el atardecer.""",Monumento Pípila,Male,23,México,10/06/2017,1
2379,2379,"""Lo más emblemático""","""Visita súper obligada del callejón del beso te cobran 20 pesos por la mujer y otros 20 por el caballero siempre esta lleno y hay te gritan la leyenda y todos nos queremos sacar la foto de hecha las callejoneadas lo han a 300 metros del lugar es una visita obligada aunque si vas ha querer la foto tendrás que formarte favor de llegar en taxi o camión no hay estacionamientos.""",Callejón del Beso,Male,45,México,21/11/2017,1
44,44,"""Turismo falso""","""Es el segundo lugar más visitado del estado y ni siquiera es real. ¿Qué onda con eso? A mí no me gustó y no pienso regresar.""",Museo de las Momias,Male,32,México,21/04/2017,0
289,289,"""Sólo si no es temporada alta""","""Ni se te ocurra pararte en puentes, fines de semana, o en la semana del Cervantino. NO LO HAGAS. En cualquier otro día buenooooo, son famosas pero no es algo que te mueres si no visitas. RECOMEDACIÓN: Ve en días tranquilos, si no te espera una fila de 1 hora.""",Museo de las Momias,Female,22,México,08/09/2016,0
2500,2500,"""Mercado Hidalgo""","""Muy tradicional gran sabor de provincia enciontre objetos coleccionables para mia memorabilia personal.""",Mercado Hidalgo,Male,63,México,28/03/2012,1
3595,3595,"""Excelente vista""","""Una interesante visita es la que te espera al mirador del monumento al Pípila, donde podrás mirar una amplia parte del Guanajuato colonial. Es de fácil acceso vía funicular, a precios accesibles y lo tomas a un lado del Teatro Juárez. Se recomienda visitarlo más de noche.""",Monumento Pípila,Male,33,México,24/11/2013,1
2005,2005,"""La rebanada de pastel""","""El jardín es muy pintoresco y pequeño rodeado de Hoteles el teatro juares y varios restaurantes un lugar de punto de reunión atrás del teatro juares podrás tomar el funicular y llegar al mirador del pipila traten de llegar en taxi o camión no hay estacionamientos gracias.""",Jardín de la Unión,Female,45,México,21/11/2017,1
1188,1188,"""Bello edificio""","""Es un bello edificio por lo que representa para la enseñanza en Guanajuato y México vale la pena visitarlo ya que su arquitectura es única en México.""",Universidad de Guanajuato,Female,22,México,28/09/2015,1
354,354,"""No me gustó""","""No vayan. No vale la pena desperdiciar el tiempo en este museo. Guanajuato tiene lugares mucho más bellos para disfrutar.""",Museo de las Momias,Male,39,Argentina,11/07/2016,0
2867,2867,"""Excelente""","""Si quieres hacer ejercicio sube por la ruta a pie por los callejones, es cansado pero agradable por lo pintoresco y el premio al llegar es la increíble vista de toda la ciudad.""",Monumento Pípila,Male,30,Colombia,06/06/2016,1
4282,4282,"""Es muy interesante""","""A pesar de no haber ido hace mucho tiempo, me gusto y es una oportunidad para conocer lo que es la esencia de Guanajuato.""",Alhóndiga,Male,22,México,11/05/2016,1
2146,2146,"""Interesante""","""Hace algunos años había visitado este museo, creo que ahora tienen menos momias en exhibición aunque los espacios para la gente son mayores... más frescos pero más oscuros.. en general son interesantes las historias que se cuentan de las momias en exhibición y sus tragedias. El museo de la inquisición fue aún más divertido, ya que muestra las máquinas de tortura de aquellos tiempos, momias especiales con radiación, con colmillos, historias de terror y muchos sustos. No muy recomendado para niños menores de 6 años porque van agarrados a ti y casi apunto de llorar.""",Museo de las Momias,Male,36,México,14/10/2013,1
1432,1432,"""Gran arquitectura""","""Muy buen lugar para hacer fotos, para los fanaticos de Game of Thrones, no podran negar que este lugar recuerda a la septa de Baelor.""",Universidad de Guanajuato,Male,30,Panamá,02/01/2018,1
1554,1554,"""Relajante lugar""","""Muy padre el Ambiente en esta plazuela del Centro ya que entre bares y música, cafés y callejoneadas es inigualable.""",Jardín de la Unión,Male,21,México,19/12/2016,1
1971,1971,"""Historia majestuosa""","""Es una hermosa iglesia que conserva su infraestructura, al frente de ella hay restaurantes y cafés donde puedes tomar un rico café o disfrutar una deliciosa cena.""",Basilica Colegiata,Male,37,Colombia,31/10/2015,1
1293,1293,"""Del congreso a las momias""","""Después de medio día del congreso saltamos a ver las momias, impresionante el museo aunque las afueras del lugar no parece seguro, no pasa nada, la gente muy amable y lo único que quieren es que se de a conocer el lugar. Llegamos casi 10 minutos antes del cierre y nos unimos al grupo con el guía quien explicó de excelente manera la historia y el procedimiento de las momias.""",Museo de las Momias,Female,36,Israel,24/09/2017,1
534,534,"""Linda casa""","""Me gusta mucho la casa, aunque sinceramente no me interesa saber a que jugaba de niño diego rivera, prefiero saber sobre sus obras y el legado que ha dejado.""",Casa de Diego Rivera,Male,34,México,18/06/2015,0
3317,3317,"""Museo dentro del cementerio""","""Si no vas al museo no conoces Guanajuato. Sorpréndete ver las momias y las historias de cada una de ellas. Llega lo más temprano posible en temporada alta sino tendrás que hacer una larga fila para comprar los tickets y visitar el museo.""",Museo de las Momias,Female,42,Guatemala,05/08/2014,1
2805,2805,"""Frida Kahlo""","""Podras darte una idea del tipo de vida que llevaban estos artistas ya que proyectan documentales y explican a detalle la historia. Podras ver cuadros originales y muebles y casa donde vivian.""",Casa de Diego Rivera,Female,27,México,26/05/2015,1
1537,1537,"""Momias de México para el mundo, simplemente maravillosas""","""Un museo chico, pero muy grande y valioso por su contenido, gente real, momificada de forma natural por el paso del tiempo y por el medio ambiente que lo rodea, algo insolito hecho por la madre naturaleza, visitenlo y daran fe de lo que les digo, vale la pena.""",Museo de las Momias,Male,33,México,09/01/2015,1
2698,2698,"""Muy fresco y bien mantenido""","""Muy bonito para pasar el día, tomar un helado caminar y simplemente disfrutar, los ficus que lo rodean perfectamente bien podados, muy limpio todo muchas bancas pra sentarte y aunque haya calor siempre está fresco. Realmente agradable con muchos restaurantes y cafés al rededor.""",Jardín de la Unión,Female,-1,México,28/03/2018,1
3002,3002,"""Lindo""","""Es un lugar bonito, sin embargo no tiene indicaciones para llegar. Si le preguntas a la gente te manda a otro lado, pero ya cuando llegas te bombardean para que contrates un guía y prácticamente te obligan a comprar unos cuadritos.""",Callejón del Beso,Female,24,México,30/11/2016,1
256,256,"""Mercado sucio""","""Lleno de baratijas locales, pero en mal estadod e higiene, fue la terminal de el ferricarril hace siglos, pero no conserva la belleza de lugares como en París que lo convirtieron en museo, aqui es un vil mercado de artesanias caras.""",Mercado Hidalgo,Male,53,México,19/02/2012,0
3370,3370,"""Sin duda hermosa e interesante arquitectura""","""La historia que guarda Guanajuato es una de las más interesante de todo México, sin duda tienes que visitar el Teatro Juarez, imagínense pisar un lugar bellísimo tanto en la arquitectura como en historia, dicho lugar dice ser edificado desde 1872.""",Teatro Juárez,Female,31,México,27/12/2017,1
3875,3875,"""Hay que visitarlo""","""Forma parte de la historia de Mexico y no hay que dejar de visitarlo. Se mantiene en buen estado y es visita obligada.""",Alhóndiga,Male,60,México,03/05/2017,1
